Country Name,Cameroon
Country Code,CMR
Indicator Name,"Inflation, consumer prices (annual %)"
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,-1.101591187
1970,5.858085809
1971,4.014029618
1972,8.092918696
1973,10.3847487
1974,17.23293349
1975,13.55332941
1976,9.930650564
1977,14.69830916
1978,12.46305234
1979,6.580610819
1980,9.551754276
1981,10.7275
1982,13.25701986
1983,16.63122641
1984,11.37332209
1985,8.508374344
1986,7.770024987
1987,13.14049984
1988,1.682332608
1989,-1.665525896
1990,1.099381284
1991,0.060051331
1992,-0.016055046
1993,-3.206554569
1994,35.09446185
1995,9.069690719
1996,3.924063727
1997,4.786238819
1998,3.170751854
1999,1.871745007
2000,1.22719013
2001,4.419772459
2002,2.834422601
2003,0.623163557
2004,0.23364738
2005,2.013539502
2006,5.11757816
2007,0.921402246
2008,5.337806276
2009,3.043618479
2010,1.275380462
2011,2.939699463
2012,2.742534075
2013,2.05908684
2014,1.834130781
2015,2.685982772
2016,0.861740258
2017,0.642673522
2018,1.074299452
2019,2.452802141
2020,2.437608822
2021,2.271857625
